videoId,timestamp,comments_1,likes_1,views_1,comments_2,likes_2,views_2,comments_3,likes_3,views_3,comments_4,likes_4,views_4,comments_5,likes_5,views_5,comments_6,likes_6,views_6,comments_7,likes_7,views_7,comments_8,likes_8,views_8,comments_9,likes_9,views_9,comments_10,likes_10,views_10,comments_11,likes_11,views_11,comments_12,likes_12,views_12,comments_13,likes_13,views_13,comments_14,likes_14,views_14,comments_15,likes_15,views_15,comments_16,likes_16,views_16,comments_17,likes_17,views_17,comments_18,likes_18,views_18,comments_19,likes_19,views_19,comments_20,likes_20,views_20,comments_21,likes_21,views_21,comments_22,likes_22,views_22,comments_23,likes_23,views_23,comments_24,likes_24,views_24,views_192
TJ2ifmkGGus,1674939616,"8,0","2577600,117834395","4201453,923388458","5926176,674558671","7769218,422365245","9468110,696252465","11148951,655253837","12717629,557888597","14321165,67368421","15923676,728621015","17392920,012048192","19473308,789125644","20630965,192691028","22175696,834927026","23811766,03287428","25187484,750610393","26646766,122019634","27815862,943083003","29004153,390597455","30356118,53694707","31870028,710136335","33113918,614198018","34427336,479166664","35496082,25730994","36813221,49728965","38000248,26131387","38750500,3767834","39497690,821406536","40303007,05874631","40773902,66460905","41260355,24498328","41771213,40352164","42320785,66706373","42870053,683740325","43304960,9640892","43800975,48431105","44178755,26067073","44533551,624423966","44825000,803455725","45142713,604700856","45479044,82559808","45879310,04913892","46201576,593340985","46753305,55880032","47256475,666666664","47949348,01911315","48878869,11535789","49748438,28045595","50657058,45815773","51490568,53527436","52150021,571868874","52956733,511991076","53542791,722088546","54133104,50959693","54842654,12529002","55477829,69320957","56076631,523452155","56579412,92113677","57065166,80241395","57506788,541666664","57907040,40179334","58267950,43098091","58644420,06996904","59031199,90157959","59445368,07007787","59940029,763020836","60344421,98219414","61009774,94203759","61660669,44456545","62328801,3618677","63204620,727841504","63729745,62597403",
YLt73w6criQ,1679169860,"62235,0","2293046,8843683084","3467019,543998418","4906437,293535236","6562450,262252795","8029783,420938851","9462692,721052632","10756008,810860058","12169434,770238495","13586193,492339473","15049112,541786743","16277576,834232014","17521875,51284017","18847377,77294686","19934693,670021415","20942072,35944206","22035831,38549536","23117893,399133496","23917844,16411778","24762250,16516023","25860899,7607767","26925887,50787728","28030224,586529244","29009208,250528168","29972911,24376013","31031754,6033241","31893157,264450867","32563525,200815737","33018824,960227273","33427748,47075118","33842658,35810333","34223635,73380388","34583410,147619046","35012011,39256007","35346569,34080407","35630948,39469496","35883064,8933687","36177175,09624891","36474257,39832781","36798534,53983278","37158990,32","37588797,4107051","37962802,84615385","38589657,97383721","39194641,98025196","39850848,698214285","40608331,78357381","41193407,65832785","41922274,832601756","42683400,89327789","43309944,09619012","44023854,20332937","44701745,969752185","45180841,07064524","45479811,08609272","45925550,64523082","46381956,3660221","46761485,98741259","47056001,9379015","47405335,52123231","47613676,1540383","47884526,5","48118103,887871854","48304449,15876089","48502194,05579399","48717125,165233135","48949460,73629243","49180840,35186656","49482587,86456357","49812852,24400081","50113816,393828064","50487534,65811032",
1WEAJ-DFkHE,1680291798,"1,0","2,10675065170978","2,5313941281243735","2,956037604538967","3,3806810809535603","3,805324557368154","4,229968033782748","4,654611510197341","5,079254986611935","5,503898463026529","5,928541939441122","6,353185415855716","6,77782889227031","7,202472368684903","7,627115845099497","8,05175932151409","8,476402797928685","8,901046274343276","9,32568975075787","9,750333227172465","10,174976703587058","10,599620180001653","11,024263656416245","11,44890713283084","11,873550609245433","1623726,1632524426","3935977,3450992755","5531296,867098134","7418566,523931367","9105364,852272727","10792073,864341086","12601967,808489636","14220897,210449927","15756256,235329581","17336582,0825054","19151275,991792656","20509061,943117537","21892166,560869563","23271946,264864866","24724862,674449455","26114171,890389197","27507584,953505266","28860145,559458315","29716272,9399069","31078091,124596775","32209470,523402438","33498177,654626284","34773611,0201782","35849465,65715318","37439487,28361742","38261579,89725379","39138053,30519342","39942081,30034862","40537454,84976207","41040463,89633352","41522721,332639374","42026633,06060606","42480163,77685951","42923812,30104186","43392894,735697314","43821784,05689177","44171158,92654116","44448631,35179033","44845959,68495298","45320687,24828767","45752293,334505185","46119821,18755402","46998907,810339734","47727803,2275245","48316677,24786754","49110275,07919159","50132447,169079326",
WTOm65IZneg,1683304589,"40,0","776,9000916590284","2184,7333340199175","3592,566576380807","5000,399818741696","6408,233061102585","7816,066303463475","9223,899545824364","10631,732788185254","12039,566030546142","13447,399272907032","14855,232515267922","16263,06575762881","17670,898999989702","19078,73224235059","20486,56548471148","21894,39872707237","23302,23196943326","24710,065211794146","26117,898454155038","27525,731696515926","28933,564938876814","30341,398181237706","31749,231423598594","33157,064665959486","34564,897908320374","35972,73115068126","37380,56439304215","995581,7680046092","2670034,911029412","3672034,0286764707","4753970,72960045","5764554,469617817","6659611,2076698085","7532798,987975301","8320647,622950819","9490582,133451328","10443412,185639229","11360091,975786924","12379894,39709443","13159106,57567861","14192511,396525515","15024116,021582734","15758545,110034488","16606456,556905895","17271933,717053033","17956263,532467533","18646931,94137852","19495824,655541673","20267448,642691415","21049131,149046794","21601898,269621193","22740345,58185586","23742270,58565737","24449415,821705427","25070243,72868217","25569269,119170986","25971188,29015544","26315633,885042455","26643882,658456486","27017591,228528187","27262086,22243966","27538450,830445215","27854898,906987295","28119709,61479129","28467782,782255728","28762361,14704193","29040397,694204684","29346583,020961776","29694971,320265047","30105997,468208093","30579901,859922178",
FM7Z-Xq8Drc,1685224676,"1736934,0","3316467,0875748503","4792266,280819498","6282056,930348258","7806730,804981004","9375027,366496598","10839227,391076116","12572395,220097488","14067883,175606772","15802645,674576834","17728531,569034185","19465260,781056724","21130450,468937878","22722289,18958882","24413655,380789023","25931488,979716025","27332803,443750974","28697264,58698539","30172334,8428246","31760622,80212355","33158193,40350877","34567959,19850187","36133163,44798464","37545746,86813742","38668747,4","39703006,64556962","40919414,81971496","41645989,736579575","42283474,56924384","42912237,86576041","43553370,23593073","44152656,24914509","44726266,19214403","45303342,24792408","45792806,54773678","46247571,92941841","46679331,12788751","47093093,47542273","47703076,95502901","48429407,68496597","49083088,951612905","49673442,07200538","50383885,87421777","51046365,14154412","51662961,53822207","52386368,373171754","53288788,62696107","54247879,38938053","55280874,75157413","56228123,231332354","57020333,8527552","57829701,953560375","58516585,67959301","59123302,47836836","59644277,43345567","60193094,20299037","60691059,40543831","61203684,88228472","61685399,871346116","62076397,78204435","62432727,104575165","62865771,67730497","63233180,28450106","63690528,75135554","64187610,47577855","64646499,816035636","65263287,99012908","65745442,56187291","66365264,20746888","67014547,78778897","67782731,725951","68477348,61200818",
48h57PspBec,1686412906,"4226,0","3975628,1596442936","6234573,878732107","7615773,64904502","9821258,408344142","12904693,579593884","15779048,576791808","18392905,927820604","20514165,610142205","22593558,787183","24433227,84493539","26145381,67193128","27796300,183606558","29572480,27851459","31285504,508474577","32884439,33837429","34089903,037207015","35451357,85251397","37191749,98829787","38508651,795588695","39755102,86735011","40836266,170313984","41863623,06439582","42783558,93669872","44138234,04551772","45440390,01937536","46736720,63699422","47856543,92570755","49079422,02634529","50076338,39988256","50962779,66339869","51876921,343332425","52805021,030239396","53441637,50951886","54059962,6911415","54563701,8055928","54812317,49500111","54996088,24647225","56222918,303908974","56570127,598678","56585637,55692874","56759594,69138449","57867125,535783365","57968579,45042312","58141050,67256057","58861797,173392184","59742998,85979971","60431069,879432626","61015450,51955602","61599260,39823009","62155948,677639045","62734455,3827027","63109037,0268714","63158345,71813103","63683245,46419502","64387303,63687482","65262300,803266406","66177251,91016548","66857640,55405124","67334853,38748044","67782066,4127243","68153342,4268891","68501368,75141244","68852529,89328964","69203731,20401767","69610874,99293564","69892930,90222222","70197778,17345276","70602408,9768212","70992743,02221325","71401497,45208485","71844435,24591872",
fuhE6PYnRMc,1688832059,"12,0","3009002,945802338","4814407,049064787","6673005,460764588","9065919,974626511","11607228,204963438","13621645,667262388","15476446,38212835","17149139,75604272","18485720,644549765","19885579,632994186","20841778,75798872","22962739,181502085","24314611,45229983","25737349,735894356","26972247,470378302","28285757,63648558","29413977,114927124","30582606,232032165","31509865,278341014","32602569,309973046","33615756,09702146","34466352,64252082","35673171,43487968","36605911,302518755","37806951,978633866","38684744,81582008","39615621,15947346","40555125,08215962","41562497,18518519","42210705,91920928","42767945,95063495","43260818,898073554","43725563,802544974","44232920,991196275","44330036,6107997","44321290,15394349","45611605,42553192","46006438,01277438","46367880,08060453","46788245,324493445","47157579,12143398","47534663,618581906","47742872,223044395","48310573,57858942","48840830,2099938","49323704,82874618","49977885,70409134","50651197,52721686","51425786,20149254","52251345,49736884","52999409,9852349","53720119,990916595","54572904,818745844","55249319,53179703","55804697,65384615","56322389,58221681","56830930,51103074","57301445,005689904","57694364,95895817","58131980,50871632","58548338,25541989","58954456,4031867","59314647,570780024","59617450,15472936","59956566,61096939","60312973,71594005","60649099,19694767","61032012,04517403","61525843,73130509","61947939,2023701","62411600,54279215",
yhB3BgJyGl8,1691254022,"2871796,0","5534962,962923729","7758655,2690851735","10515016,867218487","13432151,390816871","16293352,627627628","18508922,72225591","20849824,33771107","23062481,47142603","24913208,977212034","26832253,04420516","28607138,716","30362979,669408187","31972534,629058633","33622441,286381684","35275190,865140736","36384341,89726645","38411505,367407896","39527697,198769525","41041838,538461536","42591226,95264624","43971526,58064516","45223504,06418919","46554876,31661442","47812428,28189053","49133490,85915493","50206146,05199374","51159593,985956214","52001365,61531897","52824866,55503513","53527001,39731028","54148021,519521914","54770263,49721707","55357594,69853471","55980078,95941963","56655249,32379518","57265972,193316564","57861984,9852677","58334518,81458146","58983727,29864253","59476251,03453815","60039609,10682731","60458919,12295974","61071844,60584107","61766943,72288884","62401348,126711406","62952283,947793946","63843618,217643805","64737786,673969075","65537473,9008758","66507049,61193678","67144286,97924039","67951111,24644433","68729100,37723628","69430265,70843291","70010880,20408164","70612814,89795919","71156514,38251619","71737773,67946346","72206260,84753363","72794769,50385694","73325573,26304714","73781336,76483938","74236382,30436741","74684657,6758217","75020688,07734807","75302144,55372751","75823490,83315541","76502303,03385694","76924721,4708307","77362947,27932784","77839066,76165803",
jObOjhUkf50,1691859164,"4300982,0","7062579,985338508","9870105,417901235","13304111,662588138","16458825,561413348","19272881,131588258","22104893,25101685","24782159,0","26636663,253101736","28339550,655256722","30276810,61294728","32478515,907534245","34217106,31849315","35849348,517115235","37457844,05280773","39067978,33728278","40718709,040650405","42169891,412806205","43360041,96998124","44627888,98081535","45876375,67146283","47352776,1352657","48508035,21629021","49814829,94368341","51087544,67102682","52257694,06755338","53273426,00452489","54066048,00685518","54972296,44695624","55784808,09837963","56322799,852761805","56960880,8853475","57569951,00486941","58278024,25202312","58878874,997166336","59616635,24489009","60251148,58583899","60827435,88989561","61364346,58477265","61937056,885177456","62514170,33137295","63124806,55120665","63671101,82256122","64221064,28571428","64805377,125613526","65372621,09425593","65881051,86465103","66673894,13365215","67181214,1437201","67852713,05918619","68481887,41183724","69138234,79927963","69866736,69766788","70444962,45613609","71087066,854678","71671975,40641712","72073891,46924746","72547662,34903847","73009317,62646566","73391354,15991764","73834932,64894392","74312152,93550427","74727987,59439959","75117960,17643017","75450840,53940406","75900463,63729405","76275253,04816514","76672696,27346042","77159955,03747769","77595148,02162161","78070380,26951195","78669651,92370442",
J_z-W4UVHkw,1692462000,"1912874,0","6608709,448372747","9481069,008390142","12810605,861128142","16523764,23911111","20420566,066142462","24021563,782327585","26852921,999801073","27443317,552689757","29525726,774356104","33904142,51798365","35870842,77399591","37856261,81763779","40033416,1509434","41747575,147761196","43503987,21596244","45171581,58215962","47006713,968274824","48575642,896376945","50057826,003403015","51737252,08801214","53141615,66919575","54555582,63139755","55943518,802343614","57284286,25014327","58731618,35146924","59988715,68903355","61093879,28265045","62167620,49376947","63007010,39169295","63785110,22887324","64408952,200704224","65013451,41390205","65605353,86147186","66096554,0367175","66712176,42837079","67343279,87567568","67881042,87056367","68362737,79026845","68835370,02663352","69322201,63174716","69827844,02614379","70370933,5452046","70868438,05757722","71533792,388449","71957877,61988054","72531569,22478557","73149275,3979666","73674678,56878307","74277059,35342185","74828848,95602606","75274244,63436928","75838455,23765996","76267716,4499688","76666556,5019952","77070789,61898851","77386670,35122557","77744621,81916666","78073342,7216473","78394947,02998944","78723417,75586557","79021205,9098816","79291721,7755102","79532913,5938876","79803174,33451217","80045905,85105056","80297403,34223302","80622764,15931052","80853768,79687215","81187043,4286234","81542921,57223651","81895293,84775358",
vBpQ1SlfVtU,1693670572,"8558,0","4479599,564143542","6797663,780328345","9164778,610018358","12125151,80672269","14904883,109243698","18429358,505119454","20670797,43884485","22807673,22707485","24353322,939193934","25932334,629883844","27519065,992080253","29129830,83795541","30708611,08664445","32195786,682645477","33518205,843380615","34949425,348067835","36306660,16787056","37656263,21585903","38913321,317002885","40241315,57857143","41165259,20676056","42494154,42636746","43465895,078639455","44579954,30945872","45958850,98930481","46814930,285037614","47834214,83274524","48694008,14255469","49538902,95045045","50126336,26161837","50699680,571386985","51149773,30897977","51641274,02979469","52046391,20555834","52501819,213702165","52949469,435860686","53391968,15776764","53783512,25523865","54235289,679130204","54630430,371016905","55046237,15769344","55454338,83465725","55913446,29055794","56347790,15321889","56787619,45382729","57265230,895258315","57736955,736022644","58217619,11843515","58791414,24710313","59275426,97773655","59797247,59793268","60301154,6597582","60812896,83736447","61451831,468198374","61812089,69179042","62168814,50350828","62465882,36141305","62791981,66675596","63083579,7096947","63367795,911262795","63656980,86627418","63929710,0155642","64206396,39688716","64481064,04251884","64724903,41050254","65008345,78902954","65309831,35864979","65613802,75","65992553,96420681","66370065,9977221","66687262,1839616",
